"Age" "Attitude" "Points" "GENDER" "deep" "stra" "surf"
"1" 53 37 25 "F" 3.58333333333333 3.375 2.58333333333333
"2" 55 31 12 "M" 2.91666666666667 2.75 3.16666666666667
"3" 49 25 24 "F" 3.5 3.625 2.25
"4" 53 35 10 "M" 3.5 3.125 2.25
"5" 49 37 22 "M" 3.66666666666667 3.625 2.83333333333333
"6" 38 38 21 "F" 4.75 3.625 2.41666666666667
"7" 50 35 21 "M" 3.83333333333333 2.25 1.91666666666667
"8" 37 29 31 "F" 3.25 4 2.83333333333333
"9" 37 38 24 "M" 4.33333333333333 4.25 2.16666666666667
"10" 42 21 26 "F" 4 3.5 3
"11" 37 39 31 "M" 3.58333333333333 3.625 2.66666666666667
"12" 34 38 31 "F" 3.83333333333333 4.75 2.41666666666667
"13" 34 24 23 "F" 4.25 3.625 2.25
"14" 34 30 25 "F" 3.33333333333333 3.5 2.75
"15" 35 26 21 "M" 4.16666666666667 1.75 2.33333333333333
"17" 33 41 31 "F" 3.66666666666667 3.875 2.33333333333333
"18" 32 26 20 "F" 4.08333333333333 1.375 2.91666666666667
"19" 44 26 22 "F" 3.5 3.25 2.5
"20" 29 17 9 "M" 4.08333333333333 3 3.75
"21" 30 27 24 "F" 4 3.75 2.75
"22" 27 39 28 "M" 3.91666666666667 2.625 2.33333333333333
"23" 29 34 30 "M" 4 2.375 2.41666666666667
"24" 31 27 24 "F" 4 3.625 3
"25" 37 23 9 "F" 3.66666666666667 2.75 2.41666666666667
"26" 26 37 26 "F" 3.66666666666667 1.75 2.83333333333333
"27" 26 44 32 "F" 4.41666666666667 3.25 3.16666666666667
"28" 30 41 32 "M" 3.91666666666667 4 3
"30" 33 37 33 "F" 3.75 3.625 2
"31" 33 25 29 "F" 3.25 2.875 3.5
"32" 28 30 30 "M" 3.58333333333333 3 3.75
"33" 26 34 19 "M" 4.91666666666667 1.625 2.5
"34" 27 32 23 "F" 3.58333333333333 3.25 2.08333333333333
"35" 25 20 19 "F" 2.91666666666667 3.5 2.41666666666667
"36" 31 24 12 "F" 3.66666666666667 3 2.58333333333333
"37" 20 42 10 "M" 4.5 3.25 1.58333333333333
"38" 39 16 11 "F" 4.08333333333333 1.875 2.83333333333333
"39" 38 31 20 "M" 3.83333333333333 4.375 1.83333333333333
"40" 24 38 26 "M" 3.25 3.625 2.41666666666667
"41" 26 38 31 "M" 2.33333333333333 2.5 3.25
"42" 25 33 20 "M" 3.33333333333333 1.25 3.41666666666667
"43" 30 17 23 "F" 4.08333333333333 4 3.41666666666667
"44" 25 25 12 "F" 2.91666666666667 3 3.16666666666667
"45" 30 32 24 "M" 3.33333333333333 2.5 3.5
"46" 48 35 17 "F" 3.83333333333333 4.875 2.66666666666667
"47" 24 32 29 "F" 3.66666666666667 5 2.41666666666667
"48" 40 42 23 "F" 4.66666666666667 4.375 3.58333333333333
"49" 25 31 28 "M" 3.75 3.25 2.08333333333333
"50" 23 39 31 "F" 3.41666666666667 4 3.75
"51" 25 19 23 "F" 4.16666666666667 3.125 2.91666666666667
"52" 23 21 25 "F" 2.91666666666667 2.5 2.91666666666667
"53" 27 25 18 "M" 4.16666666666667 3.125 2.41666666666667
"54" 25 32 19 "M" 3.58333333333333 3.25 3
"55" 23 32 22 "M" 2.83333333333333 2.125 3.41666666666667
"56" 23 26 25 "F" 4 2.75 2.91666666666667
"57" 23 23 21 "F" 2.91666666666667 2.375 3.25
"58" 45 38 9 "F" 3 3.125 3.25
"59" 22 28 28 "F" 4.08333333333333 4 2.33333333333333
"60" 23 33 25 "F" 2.91666666666667 4 3.25
"61" 21 48 29 "M" 3.5 2.25 2.5
"62" 21 40 33 "M" 4.33333333333333 3.25 1.75
"63" 21 40 33 "F" 4.25 3.625 2.25
"64" 21 47 25 "F" 3.41666666666667 3.625 2.08333333333333
"65" 26 23 18 "F" 3.08333333333333 2.5 2.83333333333333
"66" 25 31 22 "F" 4.58333333333333 1.875 2.83333333333333
"67" 26 27 17 "F" 3.41666666666667 2 2.41666666666667
"68" 21 41 25 "M" 3.41666666666667 1.875 2.25
"70" 23 34 28 "F" 3.41666666666667 4 2.83333333333333
"71" 22 25 22 "F" 3.58333333333333 2.875 2.25
"72" 22 21 26 "F" 1.58333333333333 3.875 1.83333333333333
"73" 22 14 11 "F" 3.33333333333333 2.5 2.91666666666667
"74" 23 19 29 "F" 4.33333333333333 2.75 2.91666666666667
"75" 22 37 22 "M" 4.41666666666667 4.5 2.08333333333333
"77" 23 32 21 "M" 4.83333333333333 3.375 2.33333333333333
"78" 24 28 28 "M" 3.08333333333333 2.625 2.41666666666667
"79" 22 41 33 "F" 3 4.125 2.75
